smiles,IC50
Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,0.47
Cl.O=[N+]([O-])c1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,158.0
O=CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0
COc1ccc2ncncc2c1,30.0
COc1cc2ncnc(N3CCc4ccccc43)c2cc1OC.Cl,3000.0
O=C(NCc1ccccc1)c1ccc(-c2cc(O)cc(-c3ccccc3)c2)cc1,8000.0
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,15.0
Cc1ccc(-c2nc3cc(NC(=O)CCl)ccc3[nH]2)cc1,1929.0
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Cl)cc2)cc1,13730.0
O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,14530.0
NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1,9.0
Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,660.0
COc1cccc(-c2cn(C3CC(C(=O)NCCO)C3)c3ncnc(N)c23)c1,330.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,5.5
COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCOCC1,10000.0
CCOC(=O)Nc1cc(Cl)c(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl.Cl,10000.0
COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,1960.0
CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,610.0
COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,1.7
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1)NO,1100.0
COc1cc(O)c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)CCCCCC(=O)NO,1560.0
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,900.0
COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,100000.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCC(Br)C2,13300.0
Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,36.0
CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,15.0
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cc[nH]n3)cc2Cl)c1,42.0
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,77.0
Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,30.0
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,50000.0
CCOc1cc2ncc(C#N)c(Nc3ccc(Sc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,125.0
Nc1ncnc2c1ncn2-c1ccccc1,15000.0
COC(=O)Cc1c(SSc2[nH]c3ccccc3c2CC(=O)OC)[nH]c2ccccc12,18000.0
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,630.0
Cc1cccc(Nc2ncnc3c2sc2ccc([N+](=O)[O-])cc23)c1.Cl,11.0
O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1124.0
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,2700.0
CCN(CC)CCn1c2ccc(OC)cc2c2c(Nc3cccc(Br)c3)ncnc21,4270.0
Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,50000.0
COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O,47863.01
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,27.0
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,470.0
CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,0.19
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,74.0
C[C@@H](NC(=O)[C@@H](C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)O,7000.0
Cn1c(SSc2c(C(=O)NCc3ccccc3)c3ccccc3n2C)c(C(=O)NCc2ccccc2)c2ccccc21,1700.0
CNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,31000.0
CCOc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1OCC,18.0
COc1cccc(Nc2ncnc3ccccc23)c1,842.0
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(Cl)cc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,51.0
CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,285.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,190000.0
