smiles,IC50
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3Br)cc1)CC2,3467.37
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3[N+](=O)[O-])cc1)CC2,6165.95
COc1cc2c(c(O)c1C)C(=O)CC(c1ccccc1)O2,29000.0
COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(O)c3)oc2c1,13000.0
COC1=C(OC)[C@]2(OC)c3c(OC)c(OC)c4c(c3O[C@@]23O[C@@H](c2ccccc2)CC=C3C1=O)[C@@H](OC)C[C@H](c1ccccc1)O4,1400.0
COc1ccc(C(C)NC(=O)c2csc([C@@H](NC(=O)c3csc([C@@H](NC(=O)OC(C)(C)C)C(C)C)n3)C(C)C)n2)cc1,2000.0
COc1ccccc1C(=O)/C=C/c1c(C)cc(C)cc1C,8510.0
COc1cc2c(cc1OC)C(=O)/C(=C/C=C/c1ccc(N(C)C)cc1)C2,40.0
COc1ccccc1C(=O)/C=C/c1c(C)cc(C)cc1C,8511.38
CC(=O)O[C@H]1[C@@H]2[C@@H](OC(=O)c3cccnc3)[C@]3(OC2(C)C)[C@H](C)C[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]3(C)[C@H]1OC(=O)c1ccccc1,8.0
N#Cc1ccc(Nc2cc(Nc3ccccc3O)nc(-c3ccccc3)n2)cc1,2980.0
N#Cc1ccc(Nc2cc(Nc3cccc(O)c3)nc(-c3ccccc3)n2)cc1,3520.0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,800.0
COCO[C@H](CC(=O)OC)[C@H](Cc1ccccc1)N(C)C(=O)OCc1ccccc1,14900.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,43000.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6300.0
COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,338.84
CC(C)[C@@H]1OC(=O)[C@@H](C)[C@@H](C)OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C1=O,100000.0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)CCCCCCn1cc(CCC(=O)O[C@H](c2ccnc3ccc(OC)cc23)[C@@H]2C[C@@H]3CCN2C[C@@H]3C=C)nn1)c1ccnc2ccc(OC)cc12,3600.0
COC(=O)C[C@@H](O)[C@H](Cc1ccccc1)N(C)C(=O)OCc1ccccc1,17100.0
CCCCCCC[C@H]1OC(=O)C[C@H](O)[C@H](Cc2ccccc2)N(C)C(=O)C(C)(C)OC(=O)[C@H]1C,4300.0
CC/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,30000.0
C=C[C@H](C)[C@H]1C(=O)N(C)[C@@H]([C@H](O)[C@H](C)C/C=C/C)C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,3400.0
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,50000.0
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,331.13
O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(O)(c2ccccc2)CC1,57.54
O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,602.56
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1200.0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccnc4ccccc34)cc1)CC2,2238.72
COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,331.13
COc1cccc(CCc2ccccc2OCCCCN2CCN(C)CC2)c1,150.0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,800.0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,38.0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3cccc([N+](=O)[O-])c3)cc1)CC2,670.0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(Br)cc3)cc1)CC2,2400.0
C[N+](C)=c1ccc2c(-c3ccccc3)c3cc4c5c(c3sc-2c1)CCCN5CCC4.F[P-](F)(F)(F)(F)F,4700.0
CN(C)c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3[te]c2c1.F[P-](F)(F)(F)(F)F,13000.0
C[N+](C)=c1ccc2c(-c3ccc(C(=S)N4CCOCC4)s3)c3cc4c5c(c3sc-2c1)CCCN5CCC4.F[P-](F)(F)(F)(F)F,20000.0
COc1cc(OC)cc(-c2cccc(-c3ccc(O)cc3)c2)c1,20000.0
COc1ccc(-c2ccc(-c3cc(OC)cc(OC)c3)cc2)cc1,100000.0
