smiles,IC50
CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,890.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,19.0
COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,50.0
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,10000.0
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0
COC(=O)[C@H](NC(=O)[C@@H]1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,20400.0
N=C(N)c1ccc(CNC(=O)[C@@H]2CCC[C@H]2C(=O)NC2CCCCC2)cc1,1320.0
Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,38.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)Cc1ccccc1,43.0
O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCC2=O)cc1,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NC(=O)OCc2ccccc2)C1O,2500.0
O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCCC2=O)cc1,10000.0
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,0.1
CC1CC(=O)NN=C1c1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cccnc2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0
O=C(COc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,10000.0
Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,10000.0
CC(O)[C@@H](C(=O)N[C@H](C)c1ccccc1)N(C)C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N,0.008
Cc1ccccc1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,600.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@@H](C)Cc1ccccc1,260.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)c1ccccc1,72.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@@H](C)c1ccccc1,310.0
Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1C,310.0
Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,100.0
O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,10000.0
O=C(Cc1ccc2[nH]c(-c3ccc(Br)s3)nc2c1)NCC1CCN(c2ccncc2)CC1,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NS(=O)(=O)Cc2ccccc2)C1O,537.0
N=C(N)c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccccc2)cc1,132000.0
CCC[C@@H](NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,10000.0
CC1CC(c2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)=NNC1=O,10000.0
O=C(Cc1ccc2[nH]c(-c3ccc(Br)s3)nc2c1)Nc1ccc(-n2ccccc2=O)cc1,10000.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(N)=O,230000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cncc(Br)c2)NC(=O)OCc2ccccc2)C1O,2500.0
COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(C)O)c1ccccc1,8.3
CCN(C(=O)[C@@H]1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,13200.0
Cc1c(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c(C)c(C)c1CN,11300.0
N=C(N)c1cccc(N[C@H](C(=O)Nc2ccc(N3CCCCC3=O)cc2)c2ccccc2)c1,10000.0
N=C(N)c1ccc(CNC(=O)[C@@H]2CCC[C@H]2C(=O)N[C@@H](C(=O)O)c2ccccc2)cc1,132000.0
CCON(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,870.0
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)cc(Cl)c1)C(c1ccccc1)c1ccccc1,450.0
O=C(Nc1ccc(N2CCOCC2=O)cc1)c1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2nccc3ccccc23)NC(=O)OCc2ccccc2)C1O,2500.0
O=C(CCc1ccc2[nH]c(-c3ccc(Br)s3)nc2c1)NCC1CCN(c2ccncc2)CC1,10000.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)C1CCCCC1,19.0
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1Cl)C(c1ccccc1)c1ccccc1,260.0
CN(C)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc1,4000.0
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Br)c1)C(c1ccccc1)c1ccccc1,10.0
CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,980.0
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,100000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2nccc3ccccc23)NS(=O)(=O)Cc2ccccc2)C1O,2500.0
NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccc(S(N)(=O)=O)cc1)C(c1ccccc1)c1ccccc1,13000.0
COc1cccc(OC)c1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,10000.0
O=C(Cc1ccc(N2CCOCC2=O)cc1)Nc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,10000.0
O=C(CCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,10000.0
N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnnc3ccccc23)NS(=O)(=O)Cc2ccccc2)C1O,1770.0
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)ccc1N1CCOCC1=O,10000.0
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C1CCCCC1,55.0
N=C(N)c1ccc(CNC(=O)[C@@H]2CCC=C2C(=O)N2CCCCC2)cc1,6030.0
COc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,36.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1,130.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)N(C)C)[C@H]2C3)c1,11000.0
O=C1O[C@H]2CCC[C@@H]2[C@@H]1Cc1ccccc1,73.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2CCCCCc2ccccc2)c1,5000.0
O=C1O[C@H]2CCC[C@@H]2[C@H]1Cc1ccccc1,92.0
CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@@H]5[C@](C)(CC[C@H]6OC(=O)[C@@]56C)[C@H]4CC[C@@]3(C)[C@@H]21,4.0
NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Br)cn2)cc1,10000.0
N=C(N)N1CCCC(C[C@@H](NS(=O)(=O)Cc2ccccc2C(=O)O)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)C1.O=C(O)C(F)(F)F,2500.0
N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2cccc(C(=O)O)c2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1.O=C(O)C(F)(F)F,2500.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(CCCCCc4ccccc4)[C@H]2C3)c1,5000.0
CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3cc(-c4cccc(C(=O)N(CC)CC)c4)ccc3C[C@@H]21,3000.0
CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,5600.0
N=C(N)CCCC[C@H]1C(=O)N(CCCCCc2ccccc2)[C@H]2Cc3ccccc3[C@H]12,13000.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(S(=O)(=O)c4ccccc4)[C@H]2C3)c1,16.0
CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,890.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(COC(C)=O)[C@H]2C3)c1,12000.0
CC1CCCC(C)N1CCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,1100.0
