smiles,IC50
COc1ccc(S(=O)(=O)Nc2nc3c(c(=O)n(CC4CC4)c(=O)n3CC3CC3)n2Cc2cc(OC)c(OC)c(OC)c2)cc1,37000.0
Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1ccc(Cl)cc1,900.0
Cc1ccc(S(=O)(=O)n2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,1200.0
Cn1c(N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)S(=O)(=O)c2ccc([N+](=O)[O-])cc2)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,34000.0
COc1ccc(Cn2c(/N=C3/CCCN3C)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,50.0
Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1cccc(C(F)(F)F)c1,37000.0
CN(C)/C=N/c1nc2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2[nH]1,56000.0
Nc1nc2c([nH]1)c(=O)n(CC1CC1)c(=O)n2CC1CC1,71000.0
COc1ccc(OC)c(S(=O)(=O)n2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)c1,40000.0
COc1ccc(Cn2c(/N=C/N(C)C)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,240.0
Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1Cc1ccccc1,840.0
COc1cc(Cn2c(/N=C3/CCCN3C)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc(OC)c1OC,3000.0
COc1ccc(Cn2c(N(S(=O)(=O)c3ccccc3)S(=O)(=O)c3ccccc3)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,6500.0
COc1ccc(CNc2nnc(Cl)c3ccc(Cl)cc23)cc1Cl,54.0
COc1ccc(CNc2nnc(Cl)c3ccc([N+](=O)[O-])cc23)cc1Cl,3.5
O=C([O-])C1CCN(c2nc(NCc3ccc4c(c3)OCO4)c3cc(Cl)ccc3n2)CC1.[Na+],8.6
COc1ccc(CNc2nnc(Cl)c3ccc(C(F)(F)F)cc23)cc1Cl,5.3
COc1ccc(CNc2nnc(Cl)c3cc(C#N)ccc23)cc1Cl,140.0
N#Cc1ccc2c(Cl)nnc(NCc3ccc4c(c3)OCO4)c2c1,100.0
COc1ccc(C(C)Nc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,98.0
COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1,140.0
CCOc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,49.0
COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,4.8
COc1ccc(C(=O)Nc2ccccc2C)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2SC)cc1OC1CCCC1,200000.0
COc1ccc(C(=O)Nc2cccc(C)c2)cc1OC1CCCC1,15000.0
