smiles,IC50
CN(C)CCCCCN(C)C1=Nc2ccccc2C(CC(=O)NCc2ccc(F)cc2)N1c1ccc(C2CCCCC2)cc1,400.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,2300.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,8394.6
c1ccc2oc(-c3ccc(OCCCCNc4c5c(nc6ccccc46)CCCC5)cc3)cc2c1,238.0
COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc(=O)c2c1.Cl,0.324
Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)c1cc(=O)c2ccccc2o1,100.0
CCN(C)C(=O)Oc1ccc2c(c1)N(CCCN(C)C)CC2.Cl,4270.0
COc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,1326.0
CCOc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,3297.0
CC(=O)Oc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,227.9
O=C(NCC1CCN(Cc2ccccc2)CC1)c1c(O)c2ccccc2n(Cc2cc(O)c(O)c(O)c2)c1=O,10000.0
O=C(CCNCCCNc1c2c(nc3ccccc13)CCCCC2)Nc1ccc2c(c1)C(=O)c1cccc3ccnc-2c13,21.1
O=C(CCNCCCNc1c2c(nc3ccccc13)CCC2)Nc1ccc2c(c1)C(=O)c1cccc3ccnc-2c13,399.0
Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,12600.0
c1ccc(C(Nc2ccnc(N3CCN(C4CCCCC4)CC3)n2)c2ccccc2)cc1,7600.0
CC1=C2C(=O)Nc3c(cccc3[N+](=O)[O-])C2NC(=O)N1C,30000.0
O=c1c2ccc(Cl)cc2oc2ccc(OCCCCCCN3CCCCC3)cc12,1983.0
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCCN3CCCCC3)cc12,954.0
O=c1c2ccccc2oc2ccc(OCCCCCCN3CCCCCC3)cc12,605.0
COc1cc2c(cc1OC)C(=O)C(CC1C=CN(Cc3ccccc3)C=C1C(C)=O)CC2,1670.0
O=C(CC1c2cccc(F)c2N=C(N2CCN(CCN3CCCC3)CC2)N1c1ccc(C2CCCCC2)cc1)NCc1ccc(F)cc1,2040.0
Nc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,1500.0
COc1ccc(COc2nn(CCN(C(C)C)C(C)C)c3ccccc23)cc1,2280.0
COc1cc(/C=C/C(=O)NCC(O)CNc2c3c(nc4cc(Cl)ccc24)CCCC3)ccc1O,710.0
O=C(/C=C/c1ccc(O)c(O)c1)NCC(O)CNc1c2c(nc3ccccc13)CCCC2,1010.0
CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc1cccc(Cl)c1.Cl,1499.0
[Br-].[Br-].c1ccc2c(c1)[nH]c1c[n+](CCCCCCCCCCCC[n+]3ccc4c(c3)[nH]c3ccccc34)ccc12,22.0
O=C(CN(Cc1ccco1)Cc1ccccc1[N+](=O)[O-])Nc1ccccc1,1300.0
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,831.76
Cl.Cl.Cl.Oc1c(CNCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(Cl)c2cccnc12,6.5
COc1cc2[se]n(-c3ccc(OCCCCN4CCCCC4)cc3)c(=O)c2cc1OC,5720.0
COc1cc2[se]n(-c3ccc(OCCCN4CCCCC4)cc3)c(=O)c2cc1OC,5800.0
COc1cc2[se]n(-c3ccc(CN4CCCC4)cc3)c(=O)c2cc1OC,13400.0
COc1cc2oc(-c3ccc(OCC(=O)NCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC,463.2
COc1ccc(CNCCN2CCC(Cc3ccccc3)CC2)cc1OC,77.65
COc1cc(CNCCN2CCC(Cc3ccccc3)CC2)ccc1O,4.2
c1ccc(CC2CCN(CCCNCc3cccnc3)CC2)cc1,81.7
COc1cc(CNCCCN2CCN(CC(c3ccccc3)c3ccccc3)CC2)cc(OC)c1OC,210.0
COc1cc(CNCCN2CCN(CC(c3ccccc3)c3ccccc3)CC2)ccc1O,85.51
COc1cc(CNCCCCN2CCN(CC(c3ccccc3)c3ccccc3)CC2)ccc1O,4.17
c1ccc(C(CN2CCN(CCNCc3cccnc3)CC2)c2ccccc2)cc1,63.61
c1ccc2c(CNc3ccnc(N4CCSCC4)n3)cccc2c1,34700.0
CCCCN(CCCC)CCCCCCOc1ccc(CN(CC)CC)cc1,230.0
CC1CCN(c2nccc(NCCc3ccccc3)n2)CC1,17700.0
c1ccc2c(CNc3ccnc(N4CCCC4)n3)cccc2c1,8900.0
Clc1cccc(Cl)c1/C=N/N=c1ccn(CCCc2ccccc2)cc1,10000.0
S=C1NC2/C(=C/c3ccc(Cl)cc3)CNCC2C(c2ccc(Cl)cc2)N1,6260.0
COc1ccc(C2=CSC3=NC4=C(CNC/C4=C\c4ccccc4)C(c4ccccc4)N23)cc1,10410.0
Clc1ccc(C2=CSC3=NC4=C(CNC/C4=C\c4ccccc4Cl)C(c4ccccc4Cl)N23)cc1,7650.0
Fc1ccc(/C=C2\CNCC3=C2N=C2SC=C(c4ccc(F)cc4)N2C3c2ccc(F)cc2)cc1,15770.0
Fc1ccc(C2=CSC3=NC4=C(CNC/C4=C\c4ccccc4Cl)C(c4ccccc4Cl)N23)cc1,4630.0
C1=C(c2ccccc2)N2C(=NC3=C(CNC/C3=C\c3ccccc3)C2c2ccccc2)S1,1740.0
CCN(CC)c1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,235.2
O=C1c2ccc(NCCCN3CCOCC3)cc2-c2nccc3cccc1c23,6940.0
O=C1c2ccc(NCCCN3CCCC3)cc2-c2nccc3cccc1c23,4970.0
O=c1ccoc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc(O)c12,45.0
O=c1cc(-c2ccccc2)oc2cc(OCCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,289.0
O=c1cc(-c2cc(O)c(O)c(O)c2)c2ccc(O)c(O)c2o1,106183.0
O=C(NCCCN1CCCC1)c1ccc(/C=C2\CCn3c2nc2cc(Cl)ccc2c3=O)cc1,610.0
CCN(CC)CCC(=O)Nc1ccc(/C=C2\CCCn3c2nc2cc(Cl)ccc2c3=O)cc1,2340.0
