smiles,IC50
Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.5
Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.9
Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.4
Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,490.0
O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,91.0
O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,172.0
Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,35.0
Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.6
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,3.0
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,2.7
O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,366.0
Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,8.8
Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.0
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1,2.3
CN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,1.0
CN1CCCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,3.6
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3CCNCC3)cc2)cc1,1.7
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c2ccc(O)cc2[C@H]1O,32.0
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c2ccc(O)cc2[C@H]1O,316.0
C[C@]12CC[C@@H]3c4ccc(O)cc4C(O)[C@@H](Sc4ccc(Br)cc4)[C@H]3[C@@H]1CC[C@@H]2O,397.0
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](Sc4ccc(/C=C/C(=O)O)cc4)[C@H]3[C@@H]1CC[C@@H]2O,46.0
CN(C)C(=O)/C=C/c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)cc1,94.0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,9.0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,3.5
